,Date,Post patch?,PCR cycles,Cre_line
5532,2017-06-08,Partial-Nucleus,21.0,Vip-IRES-Cre
5533,2017-06-08,No-Seal,21.0,Vip-IRES-Cre
5534,2017-06-08,Nucleated,21.0,Vip-IRES-Cre
5541,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5542,2017-06-09,Partial-Nucleus,21.0,Chat-IRES-Cre-neo
5543,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5544,2017-06-09,Nucleated,21.0,Chat-IRES-Cre-neo
5545,2017-06-09,Partial-Nucleus,21.0,Chat-IRES-Cre-neo
5546,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5547,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5548,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5551,2017-06-09,Nucleated,21.0,Chat-IRES-Cre-neo
5552,2017-06-09,Partial-Nucleus,21.0,Chat-IRES-Cre-neo
5553,2017-06-09,Partial-Nucleus,21.0,Chat-IRES-Cre-neo
5554,2017-06-09,No-Seal,21.0,Chat-IRES-Cre-neo
5561,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5562,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5563,2017-06-12,Partial-Nucleus,21.0,Gad2-IRES-Cre
5564,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5565,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5566,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5567,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5568,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5571,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5572,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5573,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5574,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5575,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5576,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5577,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5578,2017-06-12,Nucleated,21.0,Gad2-IRES-Cre
5581,2017-06-12,Partial-Nucleus,21.0,Gad2-IRES-Cre
5582,2017-06-12,No-Seal,21.0,Gad2-IRES-Cre
5583,2017-06-12,Partial-Nucleus,21.0,Gad2-IRES-Cre
5588,2017-06-13,Partial-Nucleus,21.0,Gad2-IRES-Cre
5589,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5590,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5591,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5592,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5593,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5594,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5595,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5596,2017-06-13,Entire-Cell,21.0,Gad2-IRES-Cre
5597,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5598,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5599,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5602,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5603,2017-06-13,Partial-Nucleus,21.0,Gad2-IRES-Cre
5604,2017-06-13,Partial-Nucleus,21.0,Gad2-IRES-Cre
5605,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5606,2017-06-13,No-Seal,21.0,Gad2-IRES-Cre
5607,2017-06-13,Nucleated,21.0,Gad2-IRES-Cre
5612,2017-06-14,Nucleated,21.0,Gad2-IRES-Cre
5613,2017-06-14,Nucleated,21.0,Gad2-IRES-Cre
5614,2017-06-14,No-Seal,21.0,Gad2-IRES-Cre
5615,2017-06-14,Partial-Nucleus,21.0,Gad2-IRES-Cre
5616,2017-06-14,Nucleated,21.0,Gad2-IRES-Cre
5617,2017-06-14,Nucleated,21.0,Gad2-IRES-Cre
5620,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5621,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5622,2017-06-16,Partial-Nucleus,21.0,Gad2-IRES-Cre
5623,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5624,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5625,2017-06-16,Partial-Nucleus,21.0,Gad2-IRES-Cre
5626,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5629,2017-06-16,No-Seal,21.0,Gad2-IRES-Cre
5634,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5635,2017-06-19,Nucleated,21.0,Slc32a1-IRES-Cre
5636,2017-06-19,Nucleated,21.0,Slc32a1-IRES-Cre
5637,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5638,2017-06-19,Outside-Out,21.0,Slc32a1-IRES-Cre
5639,2017-06-19,Nucleated,21.0,Slc32a1-IRES-Cre
5640,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5641,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5644,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5645,2017-06-19,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5646,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5647,2017-06-19,Partial-Nucleus,21.0,Slc32a1-IRES-Cre
5648,2017-06-19,No-Seal,21.0,Slc32a1-IRES-Cre
5649,2017-06-19,Nucleated,21.0,Slc32a1-IRES-Cre
5656,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5657,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5658,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
5659,2017-06-20,Nucleated,21.0,Slc32a1-IRES-Cre
